案例,URL,關鍵字,標籤
最高法院 103 年度台上字第 1240 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c103%2c%e5%8f%b0%e4%b8%8a%2c1240%2c20140624&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+103+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+1240+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"水災, 地質, 風災, 風災, 颱風, 豪雨",
最高法院 103 年度台上字第 1622 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c103%2c%e5%8f%b0%e4%b8%8a%2c1622%2c20140813&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+103+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+1622+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,颱風,
最高法院 103 年度台上字第 1924 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c103%2c%e5%8f%b0%e4%b8%8a%2c1924%2c20140918&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+103+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+1924+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 豪雨, 淹水",
最高法院 103 年度台上字第 2185 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c103%2c%e5%8f%b0%e4%b8%8a%2c2185%2c20141022&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+103+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+2185+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,地震,
最高法院 104 年度台上字第 132 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c104%2c%e5%8f%b0%e4%b8%8a%2c132%2c20150123&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+104+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+132+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"地質, 地形",
最高法院 104 年度台上字第 1561 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c104%2c%e5%8f%b0%e4%b8%8a%2c1561%2c20150819&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+104+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+1561+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 豪雨",
最高法院 104 年度台上字第 1721 號民事裁定,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c104%2c%e5%8f%b0%e4%b8%8a%2c1721%2c20150910&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+104+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+1721+%e8%99%9f%e6%b0%91%e4%ba%8b%e8%a3%81%e5%ae%9a&lawpara=&ot=in,地質,
最高法院 104 年度台上字第 179 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c104%2c%e5%8f%b0%e4%b8%8a%2c179%2c20150129&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+104+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+179+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,地質,
最高法院 104 年度台上字第 2237 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c104%2c%e5%8f%b0%e4%b8%8a%2c2237%2c20151119&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+104+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+2237+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 地形, 洪水",
最高法院 104 年度台上字第 2309 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c104%2c%e5%8f%b0%e4%b8%8a%2c2309%2c20151203&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+104+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+2309+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,地質,
最高法院 104 年度台上字第 696 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c104%2c%e5%8f%b0%e4%b8%8a%2c696%2c20150422&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+104+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+696+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 豪雨",
最高法院 104 年度台上字第 791 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c104%2c%e5%8f%b0%e4%b8%8a%2c791%2c20150506&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+104+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+791+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,颱風,
最高法院 105 年度台上字第 189 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c105%2c%e5%8f%b0%e4%b8%8a%2c189%2c20160128&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+105+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+189+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,颱風,
最高法院 105 年度台上字第 776 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c105%2c%e5%8f%b0%e4%b8%8a%2c776%2c20160511&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+105+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+776+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,颱風,
最高法院 105 年度台上字第 995 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c105%2c%e5%8f%b0%e4%b8%8a%2c995%2c20160608&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+105+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+995+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,地質,
最高法院 106 年度台上字第 2313 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c106%2c%e5%8f%b0%e4%b8%8a%2c2313%2c20180831%2c1&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+106+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+2313+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,地震,
最高法院 106 年度台上字第 24 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c106%2c%e5%8f%b0%e4%b8%8a%2c24%2c20170427&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+106+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+24+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 豪雨",
最高法院 106 年度台上字第 2517 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c106%2c%e5%8f%b0%e4%b8%8a%2c2517%2c20180905%2c1&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+106+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+2517+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 地質, 風災, 風災, 颱風",
最高法院 106 年度台上字第 2869 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c106%2c%e5%8f%b0%e4%b8%8a%2c2869%2c20171228%2c1&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+106+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+2869+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,颱風,
最高法院 106 年度台上字第 2877 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c106%2c%e5%8f%b0%e4%b8%8a%2c2877%2c20180104%2c1&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+106+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+2877+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,颱風,
最高法院 106 年度台上字第 2969 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c106%2c%e5%8f%b0%e4%b8%8a%2c2969%2c20180622%2c1&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+106+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+2969+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"地質, 地形",
最高法院 106 年度台上字第 466 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c106%2c%e5%8f%b0%e4%b8%8a%2c466%2c20170323&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+106+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+466+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 豪雨, 地震",
最高法院 107 年度台上字第 1154 號民事判決,https://judgment.judicial.gov.tw/PdfWithLine/GetPDF.ashx?jrecno=107%2c%e5%8f%b0%e4%b8%8a%2c1154%2c20190425%2c1&tablename=TPSV&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2107%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac1154%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba,"豪雨, 淹水",
最高法院 107 年度台上字第 1185 號民事裁定,https://judgment.judicial.gov.tw/PdfWithLine/GetPDF.ashx?jrecno=107%2c%e5%8f%b0%e4%b8%8a%2c1185%2c20190314%2c1&tablename=TPSV&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2107%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac1185%e8%99%9f%e6%b0%91%e4%ba%8b%e8%a3%81%e5%ae%9a,"颱風, 豪雨",
最高法院 107 年度台上字第 1192 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c107%2c%e5%8f%b0%e4%b8%8a%2c1192%2c20180906%2c1&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+107+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+1192+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"水災, 颱風, 風災, 風災, 颱風",
最高法院 107 年度台上字第 1197 號民事判決,https://judgment.judicial.gov.tw/PdfWithLine/GetPDF.ashx?jrecno=107%2c%e5%8f%b0%e4%b8%8a%2c1197%2c20190718%2c1&tablename=TPSV&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2107%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac1197%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba,地質,
最高法院 107 年度台上字第 1646 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c107%2c%e5%8f%b0%e4%b8%8a%2c1646%2c20181122%2c1&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+107+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+1646+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,颱風,
最高法院 107 年度台上字第 1859 號民事判決,https://judgment.judicial.gov.tw/PdfWithLine/GetPDF.ashx?jrecno=107%2c%e5%8f%b0%e4%b8%8a%2c1859%2c20190515%2c1&tablename=TPSV&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2107%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac1859%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba,颱風,
最高法院 107 年度台上字第 2190 號民事裁定,https://judgment.judicial.gov.tw/PdfWithLine/GetPDF.ashx?jrecno=107%2c%e5%8f%b0%e4%b8%8a%2c2190%2c20200423%2c1&tablename=TPSV&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2107%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac2190%e8%99%9f%e6%b0%91%e4%ba%8b%e8%a3%81%e5%ae%9a,地質,
最高法院 107 年度台上字第 619 號民事判決,https://judgment.judicial.gov.tw/EXPORTFILE/ExportToPdf.aspx?type=JD&id=TPSV%2c107%2c%e5%8f%b0%e4%b8%8a%2c619%2c20180823%2c1&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2+107+%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac+619+%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba&lawpara=&ot=in,"颱風, 地質",
最高法院 108 年度台上字第 1479 號民事判決,https://judgment.judicial.gov.tw/PdfWithLine/GetPDF.ashx?jrecno=108%2c%e5%8f%b0%e4%b8%8a%2c1479%2c20190920%2c1&tablename=TPSV&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2108%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac1479%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba,"地質, 地下水位, 地形",
最高法院 108 年度台上字第 1651 號民事判決,https://judgment.judicial.gov.tw/PdfWithLine/GetPDF.ashx?jrecno=108%2c%e5%8f%b0%e4%b8%8a%2c1651%2c20200409%2c1&tablename=TPSV&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2108%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac1651%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba,"颱風, 地質, 豪雨",
最高法院 108 年度台上字第 1721 號民事判決,https://judgment.judicial.gov.tw/PdfWithLine/GetPDF.ashx?jrecno=108%2c%e5%8f%b0%e4%b8%8a%2c1721%2c20191204%2c1&tablename=TPSV&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2108%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac1721%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba,戰爭,
最高法院 108 年度台上字第 345 號民事判決,https://judgment.judicial.gov.tw/PdfWithLine/GetPDF.ashx?jrecno=108%2c%e5%8f%b0%e4%b8%8a%2c345%2c20191121%2c1&tablename=TPSV&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2108%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac345%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba,地質,
最高法院 108 年度台上字第 81 號民事判決,https://judgment.judicial.gov.tw/PdfWithLine/GetPDF.ashx?jrecno=108%2c%e5%8f%b0%e4%b8%8a%2c81%2c20200903%2c1&tablename=TPSV&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2108%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac81%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba,颱風,
最高法院 108 年度台抗字第 849 號民事裁定,https://judgment.judicial.gov.tw/PdfWithLine/GetPDF.ashx?jrecno=108%2c%e5%8f%b0%e6%8a%97%2c849%2c20191121%2c1&tablename=TPSV&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2108%e5%b9%b4%e5%ba%a6%e5%8f%b0%e6%8a%97%e5%ad%97%e7%ac%ac849%e8%99%9f%e6%b0%91%e4%ba%8b%e8%a3%81%e5%ae%9a,"颱風, 地貌",
最高法院 109 年度台上字第 2984 號民事判決,https://judgment.judicial.gov.tw/PdfWithLine/GetPDF.ashx?jrecno=109%2c%e5%8f%b0%e4%b8%8a%2c2984%2c20201224%2c1&tablename=TPSV&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2109%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac2984%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba,"地質, 地下水位",
最高法院 109 年度台上字第 615 號民事判決,https://judgment.judicial.gov.tw/PdfWithLine/GetPDF.ashx?jrecno=109%2c%e5%8f%b0%e4%b8%8a%2c615%2c20200603%2c1&tablename=TPSV&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2109%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac615%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba,"颱風, 豪雨",
最高法院 109 年度台上字第 732 號民事判決,https://judgment.judicial.gov.tw/PdfWithLine/GetPDF.ashx?jrecno=109%2c%e5%8f%b0%e4%b8%8a%2c732%2c20200821%2c1&tablename=TPSV&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2109%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac732%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba,"颱風, 豪雨",
最高法院 109 年度台上字第 801 號民事判決,https://judgment.judicial.gov.tw/PdfWithLine/GetPDF.ashx?jrecno=109%2c%e5%8f%b0%e4%b8%8a%2c801%2c20200520%2c1&tablename=TPSV&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2109%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac801%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba,颱風,
最高法院 110 年度台上字第 115 號民事判決,https://judgment.judicial.gov.tw/PdfWithLine/GetPDF.ashx?jrecno=110%2c%e5%8f%b0%e4%b8%8a%2c115%2c20220303%2c1&tablename=TPSV&fname=%e6%9c%80%e9%ab%98%e6%b3%95%e9%99%a2110%e5%b9%b4%e5%ba%a6%e5%8f%b0%e4%b8%8a%e5%ad%97%e7%ac%ac115%e8%99%9f%e6%b0%91%e4%ba%8b%e5%88%a4%e6%b1%ba,"地貌, 風災, 風災, 颱風, 豪雨, 颱風, 地形",
最高法院 110 年度台上字第 143 號民事判決,https://judgment.judicial.gov.tw/FILES/TPSV/110%2c%e5%8f%b0%e4%b8%8a%2c143%2c20221013%2c1.pdf,地質,
